Sample in Buffer,Sample in Window,TRIGGER,i_app/dcs_odd/i_trace_app/traceOut_event_data[63:0],i_app/dcs_odd/i_trace_app/traceOut_event_size[4:0],i_app/dcs_odd/i_trace_app/traceOut_event_vc[4:0],i_app/dcs_odd/i_trace_app/traceOut_src[2:0],i_app/dcs_odd/i_trace_app/traceOut_ts[63:0],i_app/dcs_odd/i_trace_app/dump_1,i_app/dcs_odd/i_trace_app/sampleLost
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0000000000000000,00,00,0,0000000000000000,0,0
1,1,0,0000000000000000,00,00,0,0000000000000000,0,0
2,2,0,0000000000000000,00,00,0,0000000000000000,0,0
3,3,0,0000000000000000,00,00,0,0000000000000000,0,0
4,4,0,0000000000000000,00,00,0,0000000000000000,0,0
5,5,0,0000000000000000,00,00,0,0000000000000000,0,0
6,6,0,0000000000000000,00,00,0,0000000000000000,0,0
7,7,0,0000000000000000,00,00,0,0000000000000000,0,0
8,8,0,0000000000000000,00,00,0,0000000000000000,0,0
9,9,0,0000000000000000,00,00,0,0000000000000000,0,0
10,10,0,0000000000000000,00,00,0,0000000000000000,0,0
11,11,0,0000000000000000,00,00,0,0000000000000000,0,0
12,12,0,0000000000000000,00,00,0,0000000000000000,0,0
13,13,0,0000000000000000,00,00,0,0000000000000000,0,0
14,14,0,0000000000000000,00,00,0,0000000000000000,0,0
15,15,0,0000000000000000,00,00,0,0000000000000000,0,0
16,16,1,0000000000000000,00,00,0,0000000000000000,1,0
17,17,0,5003c00000008100,11,05,4,0000000a0f99026a,1,0
18,18,0,5003c00000008200,11,05,4,0000000a0f990280,1,0
19,19,0,5003c00000008300,11,05,4,0000000a0f990296,1,0
20,20,0,5047c00000008400,11,05,4,0000000a0f9902ac,1,0
21,21,0,0007e00000008100,11,05,2,0000000a0f9902c2,1,0
22,22,0,5043c00000008500,11,05,4,0000000a0f9902c2,1,0
23,23,0,0007e00000008200,11,05,2,0000000a0f9902d4,1,0
24,24,0,5047c00000008600,11,05,4,0000000a0f9902d8,1,0
25,25,0,0007e00000008300,11,05,2,0000000a0f9902ea,1,0
26,26,0,0007e00000008400,11,05,2,0000000a0f9902ff,1,0
27,27,0,0007e00000008500,11,05,2,0000000a0f990314,1,0
28,28,0,0007e00000008600,11,05,2,0000000a0f99032c,1,0
29,29,0,0003e00000008000,01,07,0,0000000a0f990337,1,0
30,30,0,4803c00000008000,11,05,4,0000000a0f990489,1,0
31,31,0,7003e40000000000,01,09,5,0000000a0f990539,1,0
32,32,0,2000200000000000,01,0b,1,0000000a0f99057d,1,0
33,33,0,3803e00000008000,01,07,0,0000000a0f9906ef,1,0
34,34,0,2800300000008100,01,07,0,0000000a0f9906fd,1,0
35,35,0,2800300000008200,01,07,0,0000000a0f9906ff,1,0
36,36,0,2800300000008300,01,07,0,0000000a0f990701,1,0
37,37,0,2844300000008400,01,07,0,0000000a0f990703,1,0
38,38,0,2840300000008500,01,07,0,0000000a0f990705,1,0
39,39,0,2844300000008600,01,07,0,0000000a0f990707,1,0
40,40,0,5000000000008000,01,0b,3,0000000a0f990707,1,0
41,41,0,5003c00000008100,11,05,4,0000000a0f990754,1,0
42,42,0,5003c00000008200,11,05,4,0000000a0f99076a,1,0
43,43,0,5003c00000008300,11,05,4,0000000a0f990780,1,0
44,44,0,5047c00000008400,11,05,4,0000000a0f990796,1,0
45,45,0,0007e00000008100,11,05,2,0000000a0f9907a8,1,0
46,46,0,5043c00000008500,11,05,4,0000000a0f9907ac,1,0
47,47,0,0007e00000008200,11,05,2,0000000a0f9907bc,1,0
48,48,0,5047c00000008600,11,05,4,0000000a0f9907c2,1,0
49,49,0,0007e00000008300,11,05,2,0000000a0f9907d3,1,0
50,50,0,0007e00000008400,11,05,2,0000000a0f9907ea,1,0
51,51,0,0007e00000008500,11,05,2,0000000a0f990800,1,0
52,52,0,0007e00000008600,11,05,2,0000000a0f990815,1,0
53,53,0,5803e40000008000,01,09,5,0000000a0f99085a,1,0
54,54,0,1803e00000008000,11,05,2,0000000a0f9908aa,1,0
55,55,0,0003e00000000000,01,07,0,0000000a0f9909d4,1,0
56,56,0,4803c00000000000,11,05,4,0000000a0f990adb,1,0
57,57,0,2800300000008100,01,07,0,0000000a0f990c06,1,0
58,58,0,2800300000008200,01,07,0,0000000a0f990c08,1,0
59,59,0,2804300000008300,01,07,0,0000000a0f990c0a,1,0
60,60,0,2840300000008400,01,07,0,0000000a0f990c0d,1,0
61,61,0,2840300000008500,01,07,0,0000000a0f990c0f,1,0
62,62,0,2840300000008600,01,07,0,0000000a0f990c11,1,0
63,63,0,5003c00000008100,11,05,4,0000000a0f990c52,1,0
64,64,0,5003c00000008200,11,05,4,0000000a0f990c68,1,0
65,65,0,5007c00000008300,11,05,4,0000000a0f990c7e,1,0
66,66,0,5043c00000008400,11,05,4,0000000a0f990c94,1,0
67,67,0,0007e00000008100,11,05,2,0000000a0f990ca5,1,0
68,68,0,5043c00000008500,11,05,4,0000000a0f990caa,1,0
69,69,0,0007e00000008200,11,05,2,0000000a0f990cba,1,0
70,70,0,5043c00000008600,11,05,4,0000000a0f990cc0,1,0
71,71,0,0007e00000008300,11,05,2,0000000a0f990cd0,1,0
72,72,0,0007e00000008400,11,05,2,0000000a0f990ce7,1,0
73,73,0,0007e00000008500,11,05,2,0000000a0f990cfd,1,0
74,74,0,0007e00000008600,11,05,2,0000000a0f990d13,1,0
75,75,0,0007e00000008000,01,07,0,0000000a0f990d1f,1,0
76,76,0,4807c00000008000,11,05,4,0000000a0f990e6f,1,0
77,77,0,7003e40000000000,01,09,5,0000000a0f990f4f,1,0
78,78,0,2000200000000000,01,0b,1,0000000a0f990f92,1,0
79,79,0,3803e00000008000,01,07,0,0000000a0f9910ef,1,0
80,80,0,2804300000008100,01,07,0,0000000a0f9910fc,1,0
81,81,0,2808300000008200,01,07,0,0000000a0f9910fe,1,0
82,82,0,2800300000008300,01,07,0,0000000a0f991100,1,0
83,83,0,2840300000008400,01,07,0,0000000a0f991102,1,0
84,84,0,2840300000008500,01,07,0,0000000a0f991104,1,0
85,85,0,2844300000008600,01,07,0,0000000a0f991106,1,0
86,86,0,5000000000008000,01,0b,3,0000000a0f991108,1,0
87,87,0,5007c00000008100,11,05,4,0000000a0f991153,1,0
88,88,0,500bc00000008200,11,05,4,0000000a0f991169,1,0
89,89,0,5003c00000008300,11,05,4,0000000a0f99117f,1,0
90,90,0,5043c00000008400,11,05,4,0000000a0f991195,1,0
91,91,0,0007e00000008100,11,05,2,0000000a0f9911a6,1,0
92,92,0,5043c00000008500,11,05,4,0000000a0f9911ab,1,0
93,93,0,0007e00000008200,11,05,2,0000000a0f9911bc,1,0
94,94,0,5047c00000008600,11,05,4,0000000a0f9911c1,1,0
95,95,0,0007e00000008300,11,05,2,0000000a0f9911d1,1,0
96,96,0,0007e00000008400,11,05,2,0000000a0f9911e8,1,0
97,97,0,0007e00000008500,11,05,2,0000000a0f9911fe,1,0
98,98,0,0007e00000008600,11,05,2,0000000a0f991214,1,0
99,99,0,5803e40000008000,01,09,5,0000000a0f991256,1,0
100,100,0,1803e00000008000,11,05,2,0000000a0f9912a6,1,0
101,101,0,000be00000000000,01,07,0,0000000a0f99146d,1,0
102,102,0,480bc00000000000,11,05,4,0000000a0f991543,1,0
103,103,0,2800300000008100,01,07,0,0000000a0f99166f,1,0
104,104,0,2800300000008200,01,07,0,0000000a0f991672,1,0
105,105,0,2800300000008300,01,07,0,0000000a0f991674,1,0
106,106,0,2844300000008400,01,07,0,0000000a0f991676,1,0
107,107,0,2844300000008500,01,07,0,0000000a0f991678,1,0
108,108,0,2844300000008600,01,07,0,0000000a0f99167a,1,0
109,109,0,5003c00000008100,11,05,4,0000000a0f9916bb,1,0
110,110,0,5003c00000008200,11,05,4,0000000a0f9916d1,1,0
111,111,0,5003c00000008300,11,05,4,0000000a0f9916e7,1,0
112,112,0,5047c00000008400,11,05,4,0000000a0f9916fd,1,0
113,113,0,0007e00000008100,11,05,2,0000000a0f99170e,1,0
114,114,0,5047c00000008500,11,05,4,0000000a0f991713,1,0
115,115,0,0007e00000008200,11,05,2,0000000a0f991725,1,0
116,116,0,5047c00000008600,11,05,4,0000000a0f991729,1,0
117,117,0,0007e00000008300,11,05,2,0000000a0f991739,1,0
118,118,0,0007e00000008400,11,05,2,0000000a0f991751,1,0
119,119,0,0007e00000008500,11,05,2,0000000a0f991766,1,0
120,120,0,0007e00000008600,11,05,2,0000000a0f99177c,1,0
121,121,0,0003e00000008000,01,07,0,0000000a0f99178e,1,0
122,122,0,4803c00000008000,11,05,4,0000000a0f9918e0,1,0
123,123,0,7003e40000000000,01,09,5,0000000a0f9919c0,1,0
124,124,0,2000200000000000,01,0b,1,0000000a0f991a03,1,0
125,125,0,3803e00000008000,01,07,0,0000000a0f991b5f,1,0
126,126,0,2804300000008100,01,07,0,0000000a0f991b70,1,0
127,127,0,2804300000008200,01,07,0,0000000a0f991b72,1,0
128,128,0,2800300000008300,01,07,0,0000000a0f991b74,1,0
129,129,0,2844300000008400,01,07,0,0000000a0f991b76,1,0
130,130,0,2840300000008500,01,07,0,0000000a0f991b78,1,0
131,131,0,2840300000008600,01,07,0,0000000a0f991b7a,1,0
132,132,0,5000000000008000,01,0b,3,0000000a0f991b7a,1,0
133,133,0,5007c00000008100,11,05,4,0000000a0f991bc7,1,0
134,134,0,5007c00000008200,11,05,4,0000000a0f991bdd,1,0
135,135,0,5003c00000008300,11,05,4,0000000a0f991bf3,1,0
136,136,0,5047c00000008400,11,05,4,0000000a0f991c09,1,0
137,137,0,0007e00000008100,11,05,2,0000000a0f991c19,1,0
138,138,0,5043c00000008500,11,05,4,0000000a0f991c1f,1,0
139,139,0,0007e00000008200,11,05,2,0000000a0f991c30,1,0
140,140,0,5043c00000008600,11,05,4,0000000a0f991c35,1,0
141,141,0,0007e00000008300,11,05,2,0000000a0f991c47,1,0
142,142,0,0007e00000008400,11,05,2,0000000a0f991c5c,1,0
143,143,0,0007e00000008500,11,05,2,0000000a0f991c72,1,0
144,144,0,0007e00000008600,11,05,2,0000000a0f991c87,1,0
145,145,0,5803e40000008000,01,09,5,0000000a0f991cc7,1,0
146,146,0,1803e00000008000,11,05,2,0000000a0f991d17,1,0
147,147,0,2800300000008100,01,07,0,0000000a0f991f99,1,0
148,148,0,2800300000008200,01,07,0,0000000a0f991f9b,1,0
149,149,0,2804300000008300,01,07,0,0000000a0f991f9d,1,0
150,150,0,2840300000008400,01,07,0,0000000a0f991f9f,1,0
151,151,0,2844300000008500,01,07,0,0000000a0f991fa1,1,0
152,152,0,2844300000008600,01,07,0,0000000a0f991fa3,1,0
153,153,0,5003c00000008100,11,05,4,0000000a0f991fe5,1,0
154,154,0,5003c00000008200,11,05,4,0000000a0f991ffb,1,0
155,155,0,5007c00000008300,11,05,4,0000000a0f992011,1,0
156,156,0,5043c00000008400,11,05,4,0000000a0f992027,1,0
157,157,0,0007e00000008100,11,05,2,0000000a0f992037,1,0
158,158,0,5047c00000008500,11,05,4,0000000a0f99203d,1,0
159,159,0,0007e00000008200,11,05,2,0000000a0f99204e,1,0
160,160,0,5047c00000008600,11,05,4,0000000a0f992053,1,0
161,161,0,0007e00000008300,11,05,2,0000000a0f992064,1,0
162,162,0,0007e00000008400,11,05,2,0000000a0f99207b,1,0
163,163,0,0007e00000008500,11,05,2,0000000a0f992090,1,0
164,164,0,0007e00000008600,11,05,2,0000000a0f9920a5,1,0
165,165,0,0007e00000008000,01,07,0,0000000a0f9920af,1,0
166,166,0,4807c00000008000,11,05,4,0000000a0f992201,1,0
167,167,0,3807e00000008000,01,07,0,0000000a0f9923b8,1,0
168,168,0,2800300000008100,01,07,0,0000000a0f9923c6,1,0
169,169,0,2804300000008200,01,07,0,0000000a0f9923c8,1,0
170,170,0,2804300000008300,01,07,0,0000000a0f9923ca,1,0
171,171,0,2840300000008400,01,07,0,0000000a0f9923cc,1,0
172,172,0,2844300000008500,01,07,0,0000000a0f9923ce,1,0
173,173,0,2840300000008600,01,07,0,0000000a0f9923d0,1,0
174,174,0,5004000000008000,01,0b,3,0000000a0f9923d2,1,0
175,175,0,5003c00000008100,11,05,4,0000000a0f992412,1,0
176,176,0,5007c00000008200,11,05,4,0000000a0f992428,1,0
177,177,0,5007c00000008300,11,05,4,0000000a0f99243e,1,0
178,178,0,5043c00000008400,11,05,4,0000000a0f992454,1,0
179,179,0,0007e00000008100,11,05,2,0000000a0f992466,1,0
180,180,0,5047c00000008500,11,05,4,0000000a0f99246a,1,0
181,181,0,0007e00000008200,11,05,2,0000000a0f99247b,1,0
182,182,0,5043c00000008600,11,05,4,0000000a0f992480,1,0
183,183,0,0007e00000008300,11,05,2,0000000a0f992491,1,0
184,184,0,0007e00000008400,11,05,2,0000000a0f9924a6,1,0
185,185,0,0007e00000008500,11,05,2,0000000a0f9924be,1,0
186,186,0,0007e00000008600,11,05,2,0000000a0f9924d3,1,0
187,187,0,5803e40000008000,01,09,5,0000000a0f992525,1,0
188,188,0,1803e00000008000,11,05,2,0000000a0f992574,1,0
189,189,0,0003e00000000000,01,07,0,0000000a0f99269f,1,0
190,190,0,4803c00000000000,11,05,4,0000000a0f992776,1,0
191,191,0,2804300000008100,01,07,0,0000000a0f9928a3,1,0
192,192,0,2800300000008200,01,07,0,0000000a0f9928a5,1,0
193,193,0,2800300000008300,01,07,0,0000000a0f9928a7,1,0
194,194,0,2844300000008400,01,07,0,0000000a0f9928a9,1,0
195,195,0,2840300000008500,01,07,0,0000000a0f9928ab,1,0
196,196,0,2840300000008600,01,07,0,0000000a0f9928ad,1,0
197,197,0,5007c00000008100,11,05,4,0000000a0f9928ef,1,0
198,198,0,5003c00000008200,11,05,4,0000000a0f992905,1,0
199,199,0,5003c00000008300,11,05,4,0000000a0f99291b,1,0
200,200,0,5047c00000008400,11,05,4,0000000a0f992931,1,0
201,201,0,0007e00000008100,11,05,2,0000000a0f992943,1,0
202,202,0,5043c00000008500,11,05,4,0000000a0f992947,1,0
203,203,0,0007e00000008200,11,05,2,0000000a0f992958,1,0
204,204,0,5043c00000008600,11,05,4,0000000a0f99295d,1,0
205,205,0,0007e00000008300,11,05,2,0000000a0f99296d,1,0
206,206,0,0007e00000008400,11,05,2,0000000a0f992983,1,0
207,207,0,0007e00000008500,11,05,2,0000000a0f99299b,1,0
208,208,0,0007e00000008600,11,05,2,0000000a0f9929b0,1,0
209,209,0,0007e00000008000,01,07,0,0000000a0f9929bd,1,0
210,210,0,4807c00000008000,11,05,4,0000000a0f992b0f,1,0
211,211,0,7003e40000000000,01,09,5,0000000a0f992bf0,1,0
212,212,0,2000200000000000,01,0b,1,0000000a0f992c32,1,0
213,213,0,3807e00000008000,01,07,0,0000000a0f992da5,1,0
214,214,0,2804300000008100,01,07,0,0000000a0f992db2,1,0
215,215,0,2800300000008200,01,07,0,0000000a0f992db4,1,0
216,216,0,2800300000008300,01,07,0,0000000a0f992db6,1,0
217,217,0,2840300000008400,01,07,0,0000000a0f992db8,1,0
218,218,0,2840300000008500,01,07,0,0000000a0f992dba,1,0
219,219,0,2840300000008600,01,07,0,0000000a0f992dbc,1,0
220,220,0,5004000000008000,01,0b,3,0000000a0f992dbe,1,0
221,221,0,5007c00000008100,11,05,4,0000000a0f992e09,1,0
222,222,0,5003c00000008200,11,05,4,0000000a0f992e1f,1,0
223,223,0,5003c00000008300,11,05,4,0000000a0f992e35,1,0
224,224,0,5043c00000008400,11,05,4,0000000a0f992e4b,1,0
225,225,0,0007e00000008100,11,05,2,0000000a0f992e5c,1,0
226,226,0,5043c00000008500,11,05,4,0000000a0f992e61,1,0
227,227,0,0007e00000008200,11,05,2,0000000a0f992e73,1,0
228,228,0,5043c00000008600,11,05,4,0000000a0f992e77,1,0
229,229,0,0007e00000008300,11,05,2,0000000a0f992e88,1,0
230,230,0,0007e00000008400,11,05,2,0000000a0f992e9d,1,0
231,231,0,0007e00000008500,11,05,2,0000000a0f992eb4,1,0
232,232,0,0007e00000008600,11,05,2,0000000a0f992ecb,1,0
233,233,0,5803e40000008000,01,09,5,0000000a0f992f10,1,0
234,234,0,1803e00000008000,11,05,2,0000000a0f992f5f,1,0
235,235,0,0003e00000000000,01,07,0,0000000a0f993088,1,0
236,236,0,4803c00000000000,11,05,4,0000000a0f99318a,1,0
237,237,0,2800300000008100,01,07,0,0000000a0f9932a7,1,0
238,238,0,2800300000008200,01,07,0,0000000a0f9932a9,1,0
