Sample in Buffer,Sample in Window,TRIGGER,i_app/dcs_even/i_trace_app/traceOut_event_data[63:0],i_app/dcs_even/i_trace_app/traceOut_event_size[4:0],i_app/dcs_even/i_trace_app/traceOut_event_vc[4:0],i_app/dcs_even/i_trace_app/traceOut_src[2:0],i_app/dcs_even/i_trace_app/traceOut_ts[63:0],i_app/dcs_even/i_trace_app/dump_1,i_app/dcs_even/i_trace_app/sampleLost
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0000000000000000,00,00,0,0000000000000000,0,0
1,1,0,0000000000000000,00,00,0,0000000000000000,0,0
2,2,0,0000000000000000,00,00,0,0000000000000000,0,0
3,3,0,0000000000000000,00,00,0,0000000000000000,0,0
4,4,0,0000000000000000,00,00,0,0000000000000000,0,0
5,5,0,0000000000000000,00,00,0,0000000000000000,0,0
6,6,0,0000000000000000,00,00,0,0000000000000000,0,0
7,7,0,0000000000000000,00,00,0,0000000000000000,0,0
8,8,0,0000000000000000,00,00,0,0000000000000000,0,0
9,9,0,0000000000000000,00,00,0,0000000000000000,0,0
10,10,0,0000000000000000,00,00,0,0000000000000000,0,0
11,11,0,0000000000000000,00,00,0,0000000000000000,0,0
12,12,0,0000000000000000,00,00,0,0000000000000000,0,0
13,13,0,0000000000000000,00,00,0,0000000000000000,0,0
14,14,0,0000000000000000,00,00,0,0000000000000000,0,0
15,15,0,0000000000000000,00,00,0,0000000000000000,0,0
16,16,0,0000000000000000,00,00,0,0000000000000000,0,0
17,17,0,0000000000000000,00,00,0,0000000000000000,0,0
18,18,0,0000000000000000,00,00,0,0000000000000000,0,0
19,19,0,0000000000000000,00,00,0,0000000000000000,0,0
20,20,0,0000000000000000,00,00,0,0000000000000000,0,0
21,21,0,0000000000000000,00,00,0,0000000000000000,0,0
22,22,0,0000000000000000,00,00,0,0000000000000000,0,0
23,23,0,0000000000000000,00,00,0,0000000000000000,0,0
24,24,0,0000000000000000,00,00,0,0000000000000000,0,0
25,25,0,0000000000000000,00,00,0,0000000000000000,0,0
26,26,0,0000000000000000,00,00,0,0000000000000000,0,0
27,27,0,0000000000000000,00,00,0,0000000000000000,0,0
28,28,0,0000000000000000,00,00,0,0000000000000000,0,0
29,29,0,0000000000000000,00,00,0,0000000000000000,0,0
30,30,0,0000000000000000,00,00,0,0000000000000000,0,0
31,31,0,0000000000000000,00,00,0,0000000000000000,0,0
32,32,1,0000000000000000,00,00,0,0000000000000000,1,0
33,33,0,5047c00000008580,11,04,4,00000007b4bce9bb,1,0
34,34,0,5043c00000008480,11,04,4,00000007b4bce9d1,1,0
35,35,0,0003e00000008080,01,06,0,00000007b4bcea23,1,0
36,36,0,580fe40000008180,01,08,5,00000007b4bceb37,1,0
37,37,0,5817e40000008280,01,08,5,00000007b4bceb39,1,0
38,38,0,581fe40000008380,01,08,5,00000007b4bceb3b,1,0
39,39,0,5827e40000008480,01,08,5,00000007b4bceb3d,1,0
40,40,0,582fe40000008580,01,08,5,00000007b4bceb3f,1,0
41,41,0,5837e40000008680,01,08,5,00000007b4bceb41,1,0
42,42,0,180fe00000008180,11,04,2,00000007b4bceb83,1,0
43,43,0,1817e00000008280,11,04,2,00000007b4bceb87,1,0
44,44,0,181fe00000008380,11,04,2,00000007b4bceb8b,1,0
45,45,0,1827e00000008480,11,04,2,00000007b4bceb8f,1,0
46,46,0,1837e00000008680,11,04,2,00000007b4bceb93,1,0
47,47,0,182fe00000008580,11,04,2,00000007b4bceb97,1,0
48,48,0,4803c00000008080,11,04,4,00000007b4bcec9c,1,0
49,49,0,3803e00000008080,01,06,0,00000007b4bcee46,1,0
50,50,0,2843f00000008680,01,06,0,00000007b4bcee53,1,0
51,51,0,2804300000008180,01,06,0,00000007b4bcee55,1,0
52,52,0,2800300000008380,01,06,0,00000007b4bcee57,1,0
53,53,0,2804300000008280,01,06,0,00000007b4bcee59,1,0
54,54,0,2844300000008580,01,06,0,00000007b4bcee5b,1,0
55,55,0,2840300000008480,01,06,0,00000007b4bcee5d,1,0
56,56,0,5000000000008080,01,0a,3,00000007b4bcee5f,1,0
57,57,0,5043c00000008680,11,04,4,00000007b4bceeae,1,0
58,58,0,5007c00000008180,11,04,4,00000007b4bceec4,1,0
59,59,0,5003c00000008380,11,04,4,00000007b4bceeda,1,0
60,60,0,5007c00000008280,11,04,4,00000007b4bceef0,1,0
61,61,0,5047c00000008580,11,04,4,00000007b4bcef06,1,0
62,62,0,5043c00000008480,11,04,4,00000007b4bcef1c,1,0
63,63,0,5807e40000008080,01,08,5,00000007b4bcefab,1,0
64,64,0,1807e00000008080,11,04,2,00000007b4bceff8,1,0
65,65,0,580fe40000008180,01,08,5,00000007b4bcf075,1,0
66,66,0,5817e40000008280,01,08,5,00000007b4bcf077,1,0
67,67,0,581fe40000008380,01,08,5,00000007b4bcf079,1,0
68,68,0,5827e40000008480,01,08,5,00000007b4bcf07b,1,0
69,69,0,582fe40000008580,01,08,5,00000007b4bcf07d,1,0
70,70,0,5837e40000008680,01,08,5,00000007b4bcf07f,1,0
71,71,0,180fe00000008180,11,04,2,00000007b4bcf0c0,1,0
72,72,0,1817e00000008280,11,04,2,00000007b4bcf0c4,1,0
73,73,0,181fe00000008380,11,04,2,00000007b4bcf0c8,1,0
74,74,0,1827e00000008480,11,04,2,00000007b4bcf0cc,1,0
75,75,0,182fe00000008580,11,04,2,00000007b4bcf0d0,1,0
76,76,0,1837e00000008680,11,04,2,00000007b4bcf0d4,1,0
77,77,0,7007e40000000080,01,08,5,00000007b4bcf285,1,0
78,78,0,2004200000000080,01,0a,1,00000007b4bcf2c9,1,0
79,79,0,2843f00000008680,01,06,0,00000007b4bcf443,1,0
80,80,0,2800300000008180,01,06,0,00000007b4bcf445,1,0
81,81,0,2800300000008380,01,06,0,00000007b4bcf447,1,0
82,82,0,2800300000008280,01,06,0,00000007b4bcf449,1,0
83,83,0,2844300000008580,01,06,0,00000007b4bcf44b,1,0
84,84,0,2840300000008480,01,06,0,00000007b4bcf44d,1,0
85,85,0,5043c00000008680,11,04,4,00000007b4bcf493,1,0
86,86,0,5003c00000008180,11,04,4,00000007b4bcf4a9,1,0
87,87,0,5003c00000008380,11,04,4,00000007b4bcf4bf,1,0
88,88,0,5003c00000008280,11,04,4,00000007b4bcf4d5,1,0
89,89,0,5047c00000008580,11,04,4,00000007b4bcf4eb,1,0
90,90,0,5043c00000008480,11,04,4,00000007b4bcf501,1,0
91,91,0,0003e00000008080,01,06,0,00000007b4bcf557,1,0
92,92,0,580fe40000008180,01,08,5,00000007b4bcf669,1,0
93,93,0,5817e40000008280,01,08,5,00000007b4bcf66b,1,0
94,94,0,581fe40000008380,01,08,5,00000007b4bcf66d,1,0
95,95,0,5827e40000008480,01,08,5,00000007b4bcf66f,1,0
96,96,0,582fe40000008580,01,08,5,00000007b4bcf671,1,0
97,97,0,5837e40000008680,01,08,5,00000007b4bcf673,1,0
98,98,0,1817e00000008280,11,04,2,00000007b4bcf6b7,1,0
99,99,0,180fe00000008180,11,04,2,00000007b4bcf6bb,1,0
100,100,0,1827e00000008480,11,04,2,00000007b4bcf6bf,1,0
101,101,0,181fe00000008380,11,04,2,00000007b4bcf6c3,1,0
102,102,0,182fe00000008580,11,04,2,00000007b4bcf6c7,1,0
103,103,0,1837e00000008680,11,04,2,00000007b4bcf6cb,1,0
104,104,0,4803c00000008080,11,04,4,00000007b4bcf7cf,1,0
105,105,0,0003e00000000080,01,06,0,00000007b4bcf837,1,0
106,106,0,4803c00000000080,11,04,4,00000007b4bcf945,1,0
107,107,0,3803e00000008080,01,06,0,00000007b4bcfa61,1,0
108,108,0,2843f00000008680,01,06,0,00000007b4bcfa6d,1,0
109,109,0,2800300000008180,01,06,0,00000007b4bcfa6f,1,0
110,110,0,2800300000008280,01,06,0,00000007b4bcfa71,1,0
111,111,0,2804300000008380,01,06,0,00000007b4bcfa73,1,0
112,112,0,2840300000008480,01,06,0,00000007b4bcfa75,1,0
113,113,0,2840300000008580,01,06,0,00000007b4bcfa77,1,0
114,114,0,5000000000008080,01,0a,3,00000007b4bcfa79,1,0
115,115,0,5043c00000008680,11,04,4,00000007b4bcfabd,1,0
116,116,0,5003c00000008180,11,04,4,00000007b4bcfad6,1,0
117,117,0,5003c00000008280,11,04,4,00000007b4bcfaec,1,0
118,118,0,5007c00000008380,11,04,4,00000007b4bcfb02,1,0
119,119,0,5043c00000008480,11,04,4,00000007b4bcfb18,1,0
120,120,0,5043c00000008580,11,04,4,00000007b4bcfb2e,1,0
121,121,0,5807e40000008080,01,08,5,00000007b4bcfbca,1,0
122,122,0,1807e00000008080,11,04,2,00000007b4bcfc17,1,0
123,123,0,580fe40000008180,01,08,5,00000007b4bcfc94,1,0
124,124,0,5817e40000008280,01,08,5,00000007b4bcfc96,1,0
125,125,0,581fe40000008380,01,08,5,00000007b4bcfc98,1,0
126,126,0,5827e40000008480,01,08,5,00000007b4bcfc9a,1,0
127,127,0,582fe40000008580,01,08,5,00000007b4bcfc9c,1,0
128,128,0,5837e40000008680,01,08,5,00000007b4bcfc9e,1,0
129,129,0,180fe00000008180,11,04,2,00000007b4bcfcdf,1,0
130,130,0,1817e00000008280,11,04,2,00000007b4bcfce3,1,0
131,131,0,181fe00000008380,11,04,2,00000007b4bcfce7,1,0
132,132,0,1827e00000008480,11,04,2,00000007b4bcfceb,1,0
133,133,0,182fe00000008580,11,04,2,00000007b4bcfcef,1,0
